trait_name,is_active,type,isdefault
Abrasive,Y,Negative,0
Agonizing,Y,Negative,0
Aimless,Y,Negative,0
Aloof,Y,Negative,0
Angry,Y,Negative,0
Anxious,Y,Negative,0
Arbitrary,Y,Negative,0
Argumentative,Y,Negative,0
Arrogant,Y,Negative,0
Artificial,Y,Negative,0
Asocial,Y,Negative,0
Assertive,Y,Negative,0
Astigmatic,Y,Negative,0
Barbaric,Y,Negative,0
Bewildered,Y,Negative,0
Bizarre,Y,Negative,0
Blunt,Y,Negative,0
Biosterous,Y,Negative,0
Brutal,Y,Negative,0
Calculating,Y,Negative,0
Callous,Y,Negative,0
Careless,Y,Negative,0
Cautious,Y,Negative,0
Childish,Y,Negative,0
Clumsy,Y,Negative,0
Coarse,Y,Negative,0
Cold,Y,Negative,0
Colorless,Y,Negative,0
Complacent,Y,Negative,0
Complaining,Y,Negative,0
Compulsive,Y,Negative,0
Conceited,Y,Negative,0
Conformist,Y,Negative,0
Confused,Y,Negative,0
Conventional,Y,Negative,0
Cowardly,Y,Negative,0
Crafty,Y,Negative,0
Crass,Y,Negative,0
Crazy,Y,Negative,0
Criminal,Y,Negative,0
Critical,Y,Negative,0
Crude,Y,Negative,0
Cruel,Y,Negative,0
Cynical,Y,Negative,0
Deceitful,Y,Negative,0
Delicate,Y,Negative,0
Demanding,Y,Negative,0
Dependent,Y,Negative,0
Desperate,Y,Negative,0
Destructive,Y,Negative,0
Devious,Y,Negative,0
Difficult,Y,Negative,0
Dirty,Y,Negative,0
Discontented,Y,Negative,0
Discouraging,Y,Negative,0
Discourteous,Y,Negative,0
Dishonest,Y,Negative,0
Disloyal,Y,Negative,0
Disobedient,Y,Negative,0
Disorderly,Y,Negative,0
Disorganized,Y,Negative,0
Disrespectful,Y,Negative,0
Disruptive,Y,Negative,0
Disturbing,Y,Negative,0
Dogmatic,Y,Negative,0
Dominating,Y,Negative,0
Dull,Y,Negative,0
Easily Discouraged,Y,Negative,0
Egocentric,Y,Negative,0
Envious,Y,Negative,0
Erratic,Y,Negative,0
Escapist,Y,Negative,0
Excitable,Y,Negative,0
Extravagant,Y,Negative,0
Extreme,Y,Negative,0
Faithless,Y,Negative,0
False,Y,Negative,0
Fanatical,Y,Negative,0
Fanciful,Y,Negative,0
Fatalistic,Y,Negative,0
Fearful,Y,Negative,0
Fickle,Y,Negative,0
Fiery,Y,Negative,0
Fixed Mindset,Y,Negative,0
Flamboyant,Y,Negative,0
Foolish,Y,Negative,0
Forgetful,Y,Negative,0
Fraudulent,Y,Negative,0
Frightening,Y,Negative,0
Frivolous,Y,Negative,0
Gloomy,Y,Negative,0
Grand,Y,Negative,0
Greedy,Y,Negative,0
Grim,Y,Negative,0
Gullible,Y,Negative,0
Hateful,Y,Negative,0
Haughty,Y,Negative,0
Hedonistic,Y,Negative,0
Hesitant,Y,Negative,0
High-handed,Y,Negative,0
Hostile,Y,Negative,0
Ignorant,Y,Negative,0
Imitative,Y,Negative,0
Impatient,Y,Negative,0
Impractical,Y,Negative,0
Impulsive,Y,Negative,0
Inconsiderate,Y,Negative,0
Indecisive,Y,Negative,0
Indulgent,Y,Negative,0
Inert,Y,Negative,0
Inhibited,Y,Negative,0
Insecure,Y,Negative,0
Insensitive,Y,Negative,0
Insincere,Y,Negative,0
Insulting,Y,Negative,0
Intolerant,Y,Negative,0
Irrational,Y,Negative,0
Irresponsible,Y,Negative,0
Irritable,Y,Negative,0
Lazy,Y,Negative,0
Loquacious,Y,Negative,0
Malicious,Y,Negative,0
Mannered,Y,Negative,0
Mannerless,Y,Negative,0
Mechanical,Y,Negative,0
Meddlesome,Y,Negative,0
Melancholic,Y,Negative,0
Messy,Y,Negative,0
Miserable,Y,Negative,0
Miserly,Y,Negative,0
Misguided,Y,Negative,0
Mistaken,Y,Negative,0
Money-minded,Y,Negative,0
Monstrous,Y,Negative,0
Moody,Y,Negative,0
Morbid,Y,Negative,0
Muddle-headed,Y,Negative,0
Naive,Y,Negative,0
Narcissistic,Y,Negative,0
Narrow,Y,Negative,0
Narrow-minded,Y,Negative,0
Negativistic,Y,Negative,0
Neglectful,Y,Negative,0
Neurotic,Y,Negative,0
Obnoxious,Y,Negative,0
Obsessive,Y,Negative,0
Obvious,Y,Negative,0
Odd,Y,Negative,0
Offhand,Y,Negative,0
One-dimensional,Y,Negative,0
One-sided,Y,Negative,0
Opinionated,Y,Negative,0
Opportunistic,Y,Negative,0
Oppressed,Y,Negative,0
Outrageous,Y,Negative,0
Overimaginative,Y,Negative,0
Paranoid,Y,Negative,0
Passive,Y,Negative,0
Pedantic,Y,Negative,0
Perverse,Y,Negative,0
Petty,Y,Negative,0
Probing,Y,Negative,0
Pompous,Y,Negative,0
Possessive,Y,Negative,0
Power-hungry,Y,Negative,0
Prejudiced,Y,Negative,0
Presumptuous,Y,Negative,0
Pretentious,Y,Negative,0
Procrastinating,Y,Negative,0
Provocative,Y,Negative,0
Puritanical,Y,Negative,0
Quirky,Y,Negative,0
Reactionary,Y,Negative,0
Reactive,Y,Negative,0
Regimental,Y,Negative,0
Regretful,Y,Negative,0
Repentant,Y,Negative,0
Repressed,Y,Negative,0
Resentful,Y,Negative,0
Ridiculous,Y,Negative,0
Rigid,Y,Negative,0
Ritualistic,Y,Negative,0
Rowdy,Y,Negative,0
Ruined,Y,Negative,0
Sadistic,Y,Negative,0
Sanctimonious,Y,Negative,0
Scheming,Y,Negative,0
Scornful,Y,Negative,0
Secretive,Y,Negative,0
Sedentary,Y,Negative,0
Selfish,Y,Negative,0
Self-centered,Y,Negative,0
Shallow,Y,Negative,0
Shortsighted,Y,Negative,0
Shy,Y,Negative,0
Silly,Y,Negative,0
Single-minded,Y,Negative,0
Sloppy,Y,Negative,0
Slow,Y,Negative,0
Sly,Y,Negative,0
Small-thinking,Y,Negative,0
Softheaded,Y,Negative,0
Sordid,Y,Negative,0
Steely,Y,Negative,0
Stiff,Y,Negative,0
Strong-willed,Y,Negative,0
Stupid,Y,Negative,0
Submissive,Y,Negative,0
Superficial,Y,Negative,0
Superstitious,Y,Negative,0
Suspicious,Y,Negative,0
Tactless,Y,Negative,0
Tasteless,Y,Negative,0
Tense,Y,Negative,0
Thievish,Y,Negative,0
Thoughtless,Y,Negative,0
Timid,Y,Negative,0
Transparent,Y,Negative,0
Treacherous,Y,Negative,0
Trendy,Y,Negative,0
Troublesome,Y,Negative,0
Unappreciative,Y,Negative,0
Uncaring,Y,Negative,0
Uncharitable,Y,Negative,0
Unconvincing,Y,Negative,0
Uncooperative,Y,Negative,0
Uncreative,Y,Negative,0
Uncritical,Y,Negative,0
Unctuous,Y,Negative,0
Undisciplined,Y,Negative,0
Unfriendly,Y,Negative,0
Ungrateful,Y,Negative,0
Unhealthy,Y,Negative,0
Unimaginative,Y,Negative,0
Unimpressive,Y,Negative,0
Unlovable,Y,Negative,0
Unpolished,Y,Negative,0
Unprincipled,Y,Negative,0
Unrealistic,Y,Negative,0
Unreflective,Y,Negative,0
Unreliable,Y,Negative,0
Unrestrained,Y,Negative,0
Unself-critical,Y,Negative,0
Unstable,Y,Negative,0
Vacuous,Y,Negative,0
Vague,Y,Negative,0
Venal,Y,Negative,0
Venomous,Y,Negative,0
Vindictive,Y,Negative,0
Vulnerable,Y,Negative,0
Weak,Y,Negative,0
Weak-willed,Y,Negative,0
Well-meaning,Y,Negative,0
Willful,Y,Negative,0
Wishful,Y,Negative,0
Zany,Y,Negative,0
Active,Y,Positive,0
Adaptable,Y,Positive,0
Admirable,Y,Positive,0
Adventurous,Y,Positive,0
Agreeable,Y,Positive,0
Amiable,Y,Positive,0
Appreciative,Y,Positive,0
Articulate,Y,Positive,0
Athletic,Y,Positive,0
Attractive,Y,Positive,1
Cool,Y,Positive,1
Respected,Y,Positive,1
Strong-headed,Y,Positive,1
Balanced,Y,Positive,0
Benevolent,Y,Positive,0
Brave,Y,Positive,0
Brilliant,Y,Positive,0
Calm,Y,Positive,0
Capable,Y,Positive,0
Captivating,Y,Positive,0
Caring,Y,Positive,0
Challenging,Y,Positive,0
Charismatic,Y,Positive,0
Charming,Y,Positive,0
Cheerful,Y,Positive,0
Clean,Y,Positive,0
Clear-headed,Y,Positive,0
Clever,Y,Positive,0
Colorful,Y,Positive,0
Compassionate,Y,Positive,0
Confident,Y,Positive,1
Truthful,Y,Positive,1
Introverted,Y,Positive,1
Extroverted,Y,Positive,1
Conscientious,Y,Positive,0
Considerate,Y,Positive,0
Constant,Y,Positive,0
Contemplative,Y,Positive,0
Cooperative,Y,Positive,0
Courageous,Y,Positive,0
Courteous,Y,Positive,0
Creative,Y,Positive,0
Cultured,Y,Positive,0
Curious,Y,Positive,0
Daring,Y,Positive,0
Debonair,Y,Positive,0
Decent,Y,Positive,0
Decisive,Y,Positive,0
Dedicated,Y,Positive,0
Deep,Y,Positive,0
Dignified,Y,Positive,0
Directed,Y,Positive,0
Disciplined,Y,Positive,0
Discreet,Y,Positive,0
Dramatic,Y,Positive,0
Dutiful,Y,Positive,0
Dynamic,Y,Positive,0
Ebullient,Y,Positive,0
Educated,Y,Positive,0
Efficient,Y,Positive,0
Elegant,Y,Positive,0
Eloquent,Y,Positive,0
Empathetic,Y,Positive,0
Energetic,Y,Positive,0
Enthusiastic,Y,Positive,0
Esthetic,Y,Positive,0
Exciting,Y,Positive,0
Extraordinary,Y,Positive,0
Fair,Y,Positive,0
Faithful,Y,Positive,0
Farsighted,Y,Positive,0
Firm,Y,Positive,0
Flexible,Y,Positive,0
Focused,Y,Positive,0
Forecful,Y,Positive,0
Forgiving,Y,Positive,0
Forthright,Y,Positive,0
Freethinking,Y,Positive,0
Friendly,Y,Positive,1
Fun-loving,Y,Positive,0
Gallant,Y,Positive,0
Generous,Y,Positive,0
Gentle,Y,Positive,0
Genuine,Y,Positive,0
Good-natured,Y,Positive,0
Gracious,Y,Positive,0
Hardworking,Y,Positive,1
Healthy,Y,Positive,0
Hearty,Y,Positive,0
Helpful,Y,Positive,1
Heroic,Y,Positive,0
High-handed,Y,Positive,0
Honest,Y,Positive,0
Honorable,Y,Positive,0
Humble,Y,Positive,0
Talkative,Y,Positive,1
Humorous,Y,Positive,1
Idealistic,Y,Positive,0
Imaginative,Y,Positive,0
Impressive,Y,Positive,0
Incisive,Y,Positive,0
Incorruptible,Y,Positive,0
Independent,Y,Positive,0
Individualistic,Y,Positive,0
Innovative,Y,Positive,0
Inoffensive,Y,Positive,0
Insightful,Y,Positive,0
Insouciant,Y,Positive,0
Intelligent,Y,Positive,1
Intuitive,Y,Positive,0
Kind,Y,Positive,0
Knowledgeable,Y,Positive,1
Leader,Y,Positive,0
Leisurely,Y,Positive,0
Liberal,Y,Positive,0
Logical,Y,Positive,0
Lovable,Y,Positive,0
Loyal,Y,Positive,0
Lyrical,Y,Positive,0
Magnanimous,Y,Positive,0
Many-sided,Y,Positive,0
Masculine  (Manly),Y,Positive,0
Mature,Y,Positive,0
Methodical,Y,Positive,0
Maticulous,Y,Positive,0
Moderate,Y,Positive,0
Modest,Y,Positive,0
Multi-talented,Y,Positive,0
Neat,Y,Positive,0
Nonauthoritarian,Y,Positive,0
Objective,Y,Positive,0
Observant,Y,Positive,0
Open,Y,Positive,0
Optimistic,Y,Positive,0
Orderly,Y,Positive,0
Organized,Y,Positive,0
Original,Y,Positive,0
Painstaking,Y,Positive,0
Passionate,Y,Positive,0
Patient,Y,Positive,0
Patriotic,Y,Positive,0
Peaceful,Y,Positive,0
Perceptive,Y,Positive,0
Perfectionist,Y,Positive,0
Personable,Y,Positive,0
Persuasive,Y,Positive,0
Planful,Y,Positive,0
Playful,Y,Positive,0
Polished,Y,Positive,0
Popular,Y,Positive,0
Practical,Y,Positive,0
Precise,Y,Positive,0
Principled,Y,Positive,0
Profound,Y,Positive,0
Protean,Y,Positive,0
Protective,Y,Positive,0
Providential,Y,Positive,0
Prudent,Y,Positive,0
Punctual,Y,Positive,0
Purposeful,Y,Positive,0
Rational,Y,Positive,0
Realistic,Y,Positive,0
Reflective,Y,Positive,0
Relaxed,Y,Positive,0
Reliable,Y,Positive,0
Resourceful,Y,Positive,0
Respectful,Y,Positive,0
Responsible,Y,Positive,0
Responsive,Y,Positive,0
Reverential,Y,Positive,0
Romantic,Y,Positive,0
Rustic,Y,Positive,0
Sagely,Y,Positive,0
Sane,Y,Positive,0
Scholarly,Y,Positive,0
Scrupulous,Y,Positive,0
Secure,Y,Positive,0
Selfless,Y,Positive,0
Self-critical,Y,Positive,0
Self-defacing,Y,Positive,0
Self-denying,Y,Positive,0
Self-reliant,Y,Positive,0
Self-sufficent,Y,Positive,0
Sensitive,Y,Positive,0
Sentimental,Y,Positive,0
Serious,Y,Positive,0
Sexy,Y,Positive,0
Shrewd,Y,Positive,0
Simple,Y,Positive,0
Skillful,Y,Positive,0
Sober,Y,Positive,0
Sociable,Y,Positive,0
Solid,Y,Positive,0
Sophisticated,Y,Positive,0
Spontaneous,Y,Positive,0
Sporting,Y,Positive,0
Stable,Y,Positive,0
Steadfast,Y,Positive,0
Steady,Y,Positive,0
Stoic,Y,Positive,0
Strong,Y,Positive,0
Studious,Y,Positive,0
Suave,Y,Positive,0
Subtle,Y,Positive,0
Sweet,Y,Positive,0
Sympathetic,Y,Positive,0
Systematic,Y,Positive,0
